Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-12 00:00:00-05:00,40.71922279492519,40.82226831923473,39.80901025976904,40.01509475708008,23651900,0.0,0.0
2015-01-13 00:00:00-05:00,40.332812826473656,41.13998309862355,39.551402297116155,39.80900955200195,35270600,0.0,0.0
2015-01-14 00:00:00-05:00,39.46553421020508,39.70597050638323,39.1735784242885,39.46553421020508,29719600,0.0,0.0
2015-01-15 00:00:00-05:00,39.68879429119604,39.826185049803755,38.99325173318906,39.05335998535156,32750800,0.0,0.0
2015-01-16 00:00:00-05:00,38.907378435539144,39.74030836299679,38.78715867194238,39.705963134765625,35695300,0.0,0.0
2015-01-20 00:00:00-05:00,39.75748388954784,40.05802839469467,39.130638413995285,39.83476638793945,36161900,0.0,0.0
2015-01-21 00:00:00-05:00,39.44835711522265,39.62009637851391,39.05335910261054,39.431182861328125,39081100,0.0,0.0
2015-01-22 00:00:00-05:00,39.82618738149149,40.47879270417245,39.568580103476755,40.47020721435547,35898000,0.0,0.0
2015-01-23 00:00:00-05:00,40.667706655611966,40.693466400982516,40.18683732955117,40.51314163208008,26211600,0.0,0.0
2015-01-26 00:00:00-05:00,40.35856005194675,40.47019102884773,39.7059549902664,40.36714553833008,42525500,0.0,0.0
2015-01-27 00:00:00-05:00,36.88086532521266,37.09553857707577,36.15956306792647,36.63184356689453,169164000,0.0,0.0
2015-01-28 00:00:00-05:00,36.70054876469759,36.7434827695145,35.343811938031784,35.369571685791016,84507100,0.0,0.0
2015-01-29 00:00:00-05:00,35.14630184707223,36.168145253377475,35.02608536111321,36.07368850708008,63585300,0.0,0.0
2015-01-30 00:00:00-05:00,35.67869136737447,35.70445438328285,34.648259173687634,34.69119644165039,78004900,0.0,0.0
2015-02-02 00:00:00-05:00,34.854356519128764,35.524136155391346,34.545226448344636,35.44685363769531,50352500,0.0,0.0
2015-02-03 00:00:00-05:00,35.74738929831166,36.00499653446938,35.24934580284018,35.72162628173828,52082400,0.0,0.0
2015-02-04 00:00:00-05:00,36.013583291372804,36.24543079477707,35.51554305401293,35.92771530151367,41614800,0.0,0.0
2015-02-05 00:00:00-05:00,36.2540276008384,36.6146771690288,35.94489752772972,36.4515266418457,36548200,0.0,0.0
2015-02-06 00:00:00-05:00,36.64901515178451,36.743471899831704,36.19390893917929,36.41716766357422,34616600,0.0,0.0
2015-02-09 00:00:00-05:00,36.27118720695552,36.700533629371094,36.245424194166375,36.374229431152344,31381100,0.0,0.0
2015-02-10 00:00:00-05:00,36.70054204301061,36.72630178605195,36.21967276043018,36.580322265625,29670700,0.0,0.0
2015-02-11 00:00:00-05:00,36.62325449534903,36.62325449534903,36.245427512613325,36.39140701293945,38262500,0.0,0.0
2015-02-12 00:00:00-05:00,36.631837550020386,37.001075744628906,36.50303230979757,37.001075744628906,33268800,0.0,0.0
2015-02-13 00:00:00-05:00,37.250106334827294,37.67086410522461,37.05260732158818,37.67086410522461,40264900,0.0,0.0
