Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-12 00:00:00-05:00,0.4797833999729277,0.480023422900135,0.4682628430878636,0.4725830554962158,190732000,0.0,0.0
2015-01-13 00:00:00-05:00,0.47618318379236724,0.48578364220871906,0.46850282278161043,0.4718629717826843,236720000,0.0,0.0
2015-01-14 00:00:00-05:00,0.4668227548050012,0.47522315603670606,0.46562269748618623,0.47378307580947876,155260000,0.0,0.0
2015-01-15 00:00:00-05:00,0.47714331068307425,0.4800234428712603,0.47018296023236233,0.47042298316955566,188932000,0.0,0.0
2015-01-16 00:00:00-05:00,0.4697028097548261,0.47954328960281606,0.46826272976334804,0.4790632724761963,181512000,0.0,0.0
2015-01-20 00:00:00-05:00,0.48242350875912693,0.4850636177417568,0.4745031245879893,0.4805034399032593,140308000,0.0,0.0
2015-01-21 00:00:00-05:00,0.47786336691842546,0.48842389011165027,0.4745031887430971,0.4872238039970398,144780000,0.0,0.0
2015-01-22 00:00:00-05:00,0.4881837300822693,0.49706420513206495,0.4831435068566362,0.4956241250038147,159712000,0.0,0.0
2015-01-23 00:00:00-05:00,0.4961040519708035,0.49802417764449236,0.4920238635961638,0.49706414341926575,120416000,0.0,0.0
2015-01-26 00:00:00-05:00,0.49490422010421753,0.4973043352323885,0.4917840647152695,0.49490422010421753,133240000,0.0,0.0
2015-01-27 00:00:00-05:00,0.48722370936822795,0.4877037551654886,0.47018288469089864,0.4711429476737976,357948000,0.0,0.0
2015-01-28 00:00:00-05:00,0.4769032143267956,0.47882331169386355,0.4632225384687004,0.46346256136894226,272728000,0.0,0.0
2015-01-29 00:00:00-05:00,0.46370261841038857,0.4773832666641315,0.4615424979840347,0.47474315762519836,235340000,0.0,0.0
2015-01-30 00:00:00-05:00,0.47138295465991836,0.47690322397253204,0.4601024217412174,0.4608224332332611,298200000,0.0,0.0
2015-02-02 00:00:00-05:00,0.46370263491964675,0.47282307695073306,0.45458219288856044,0.4709029793739319,259604000,0.0,0.0
2015-02-03 00:00:00-05:00,0.47426313996885944,0.4831435878965932,0.47186302509360734,0.4826635420322418,183468000,0.0,0.0
2015-02-04 00:00:00-05:00,0.4812233053098204,0.48938368081930034,0.47978319696753935,0.4838634133338928,181516000,0.0,0.0
2015-02-05 00:00:00-05:00,0.4843435809350736,0.49202397085768723,0.4838635923294404,0.4917839765548706,140448000,0.0,0.0
2015-02-06 00:00:00-05:00,0.4913039191501935,0.4970642400680568,0.48746372427936696,0.4896238446235657,210524000,0.0,0.0
