Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-01-12 00:00:00-05:00,68.3059579996906,68.41164756726924,67.57367616743181,67.88319396972656,5250900,0.0,0.0
2015-01-13 00:00:00-05:00,68.53243706956133,69.07598673921716,67.76995735186912,68.17007446289062,6727100,0.0,0.0
2015-01-14 00:00:00-05:00,67.73976543972017,68.06438506216405,67.51328449023848,67.93604278564453,6418200,0.0,0.0
2015-01-15 00:00:00-05:00,68.3135243443044,68.3210752470893,67.44535483288075,67.83792114257812,6768200,0.0,0.0
2015-01-16 00:00:00-05:00,67.90587314930426,68.95522418247204,67.84548319605345,68.88728332519531,8815700,0.0,0.0
2015-01-20 00:00:00-05:00,68.88723570703795,69.2948978478593,68.32103924917189,68.8419418334961,9869900,0.0,0.0
2015-01-21 00:00:00-05:00,68.7309727083605,69.33160910712367,68.14553972448292,68.98187255859375,6974500,0.644,0.0
2015-01-22 00:00:00-05:00,69.21756437116368,69.71175947228876,68.32801666950824,69.65853881835938,7211200,0.0,0.0
2015-01-23 00:00:00-05:00,69.31636235786283,69.33157156512901,68.38879793546825,68.48764038085938,6745700,0.0,0.0
2015-01-26 00:00:00-05:00,68.38884302908465,68.38884302908465,67.46888260372798,68.10753631591797,9371700,0.0,0.0
2015-01-27 00:00:00-05:00,66.22196868272954,66.30560194451365,65.4008452764571,65.75818634033203,14417400,0.0,0.0
2015-01-28 00:00:00-05:00,65.86462550638889,66.07751385722075,64.63294623709832,64.73938751220703,14033400,0.0,0.0
2015-01-29 00:00:00-05:00,65.21839127782509,65.46929112448396,64.73940540743493,65.13475799560547,12054500,0.0,0.0
2015-01-30 00:00:00-05:00,64.69379130025764,64.79263380958493,64.05514339668171,64.08555603027344,14685300,0.0,0.0
2015-02-02 00:00:00-05:00,64.30602911915199,64.73179429448876,63.621759515492556,64.71659088134766,10278700,0.0,0.0
2015-02-03 00:00:00-05:00,65.34764099121094,65.38565822903239,64.71659776793385,65.34764099121094,10747900,0.0,0.0
2015-02-04 00:00:00-05:00,65.30202660175887,65.75060565683617,65.04352793999139,65.22599792480469,9212800,0.0,0.0
2015-02-05 00:00:00-05:00,65.5681178188872,65.97867955971117,65.46167653059379,65.91785430908203,6531300,0.0,0.0
2015-02-06 00:00:00-05:00,65.81140752582859,65.84942475445132,64.73939012592068,65.08912658691406,8429800,0.0,0.0
2015-02-09 00:00:00-05:00,64.86106455101887,64.95230246117133,64.31364869133886,64.66339111328125,8811500,0.0,0.0
2015-02-10 00:00:00-05:00,64.87624370758077,65.05871364271611,64.48849001988036,64.92185974121094,7059300,0.0,0.0
2015-02-11 00:00:00-05:00,65.34762140930951,65.53769594022735,64.73938639074102,65.11193084716797,7184600,0.0,0.0
2015-02-12 00:00:00-05:00,65.43125528145104,65.49968512954358,64.93706613691502,65.408447265625,6074600,0.0,0.0
2015-02-13 00:00:00-05:00,65.40842984314135,65.4996676827574,65.00547286924292,65.3095932006836,6272000,0.0,0.0
2015-02-17 00:00:00-05:00,65.43126404770882,65.43126404770882,64.62534977727148,64.99789428710938,10310400,0.0,0.0
2015-02-18 00:00:00-05:00,65.20318670968828,65.68217257160501,65.02071093319205,65.58333587646484,8132300,0.0,0.0
2015-02-19 00:00:00-05:00,65.46930398654472,65.6137625570527,64.6633894365891,64.7850341796875,7271600,0.0,0.0
2015-02-20 00:00:00-05:00,64.5873086854909,64.6633431211617,64.00948641856137,64.5264892578125,9581300,0.0,0.0
2015-02-23 00:00:00-05:00,64.59493129876053,65.00549300327603,64.3592407241851,64.92185974121094,7919200,0.0,0.0
